shoulder_cm,arm_cm,height_cm,weight_kg,size_label,shoulder_cm_raw,chest_cm_raw,arm_cm_raw,height_cm_raw,weight_kg_raw
-0.7955911329846006,-0.30885444402883316,0.3420142535647217,-0.25601048529891,L,40.1,107.4,88.3,177.6,81.5
-1.190844920650539,-0.7129592203902617,-0.8108361922273742,-0.9378192790629092,M,39.4,102.1,86.8,170.2,72.6
0.6724943640603082,0.41853415342173905,-0.2967272096444112,0.6173176325561,XL,42.7,112.0,91.0,173.5,92.9
-0.7955911329846006,-1.2517655888721666,-1.5430520159061356,-0.4168867175353587,L,40.1,111.4,84.8,165.5,79.4
1.1242129785356627,2.7084612194698345,2.491924544366198,0.7475507729379864,L,43.5,104.8,99.5,191.4,94.6
-0.6261966525563436,-0.03945125978788078,-0.5304131108184845,-0.35560053382623547,L,40.4,106.6,89.3,172.0,80.2
2.1405798611052127,1.765550074626501,0.8717022962259554,2.402277733084321,XXL,45.3,120.8,96.0,181.0,116.2
0.5595647104414675,0.9034598850554526,1.4948646993568178,0.8088369566471109,L,42.5,108.7,92.8,185.0,95.4
-0.005083557652727914,0.5262954271181215,0.35759331364299235,1.1229286481563683,XL,41.5,118.1,91.4,177.7,99.5
-0.5132669989375029,0.4454744718458328,0.8872813563042261,-1.121677830190279,M,40.6,96.4,91.1,181.1,70.2
-0.17447803808098492,0.5532357455422152,0.4043304938778088,0.2572613032649993,L,41.2,111.7,91.5,178.0,88.2
-0.40033734531866627,-0.9284817677830229,-0.32788532980095253,-1.12933860315392,M,40.8,96.1,86.0,173.3,70.1
2.1405798611052127,1.5500275272337398,0.9340185365390425,1.4446811126292667,XL,45.3,115.1,95.2,181.4,103.7
-0.061548384462148255,-0.5243769914215943,-0.7017827716794708,0.36451212475596473,L,41.4,106.0,87.5,170.9,89.6
-0.1180132112715686,1.6308484825060248,-0.2188319092530534,0.5790137677378978,L,41.3,109.2,95.5,174.0,92.4
-0.9649856134128616,-0.41661571772521183,-0.9354686728535441,-0.5317983119899652,L,39.8,108.5,87.9,169.4,77.9
-1.699028361935314,-0.17415285190835697,0.18622365278200614,0.9237485511017173,L,38.5,111.8,88.8,176.6,96.9
-1.190844920650539,-1.0362430414794055,-0.0941994286268792,-0.677352998299134,M,39.4,99.9,85.6,174.8,76.0
-0.9085207866034413,0.41853415342173905,0.6224373349736114,0.4564414003196502,XL,39.9,112.7,91.0,179.4,90.8
0.2772405763943698,0.6340567008145002,0.4043304938778088,-1.0297485546265934,M,42.0,100.0,91.8,178.0,71.4
-1.1343800938411186,-2.3563186442600697,-1.1535755139493467,-0.7846038197901004,M,39.5,97.7,80.7,168.0,74.6
-0.9649856134128616,-1.655870365233595,-1.574210136062677,-0.4322082634626398,L,39.8,107.9,83.3,165.3,79.2
-0.2874076916998256,0.20301160602897791,0.014853991921019917,0.8931054592471551,L,41.0,109.8,90.2,175.5,96.5
